"session_id","phase_number","phase_name","confidence"
be18c084-dd56-11ef-b02c-0242ac120003,3,Pre phase ,4
be18c084-dd56-11ef-b02c-0242ac120003,5,Post Phase,4
be18c084-dd56-11ef-b02c-0242ac120003,4,Intervention Phase,4
c0509426-dd74-11ef-82d1-0242ac120003,4,Intervention Phase,3
c0509426-dd74-11ef-82d1-0242ac120003,5,Post Phase,3
c0509426-dd74-11ef-82d1-0242ac120003,3,Pre phase ,3
c056078e-df0a-11ef-8bc0-0242ac120003,3,Pre phase ,3
c056078e-df0a-11ef-8bc0-0242ac120003,5,Post Phase,3
c056078e-df0a-11ef-8bc0-0242ac120003,4,Intervention Phase,3
c1b384c2-dd74-11ef-b02c-0242ac120003,5,Post Phase,3
c1b384c2-dd74-11ef-b02c-0242ac120003,3,Pre phase ,4
c1b384c2-dd74-11ef-b02c-0242ac120003,4,Intervention Phase,4
c5e7976e-dfd5-11ef-af32-0242ac120003,3,Pre phase ,4
c5e7976e-dfd5-11ef-af32-0242ac120003,5,Post Phase,3
c5e7976e-dfd5-11ef-af32-0242ac120003,4,Intervention Phase,4
c6982702-dd5d-11ef-af32-0242ac120003,3,Pre phase ,5
c6982702-dd5d-11ef-af32-0242ac120003,5,Post Phase,5
c6982702-dd5d-11ef-af32-0242ac120003,4,Intervention Phase,5
c7cff978-def8-11ef-b02c-0242ac120003,5,Post Phase,4
c7cff978-def8-11ef-b02c-0242ac120003,4,Intervention Phase,4
c7cff978-def8-11ef-b02c-0242ac120003,3,Pre phase ,3
c8059d4c-dd6f-11ef-b02c-0242ac120003,5,Post Phase,4
c8059d4c-dd6f-11ef-b02c-0242ac120003,4,Intervention Phase,4
c8059d4c-dd6f-11ef-b02c-0242ac120003,3,Pre phase ,5
c81eb1e2-de2d-11ef-9077-0242ac120003,5,Post Phase,3
c81eb1e2-de2d-11ef-9077-0242ac120003,4,Intervention Phase,4
c81eb1e2-de2d-11ef-9077-0242ac120003,3,Pre phase ,3
c86b24bc-de34-11ef-9101-0242ac120003,3,Pre phase ,3
c86b24bc-de34-11ef-9101-0242ac120003,5,Post Phase,4
c86b24bc-de34-11ef-9101-0242ac120003,4,Intervention Phase,4
c8e28680-dfae-11ef-aae8-0242ac120003,3,Pre phase ,5
c8e28680-dfae-11ef-aae8-0242ac120003,5,Post Phase,5
c8e28680-dfae-11ef-aae8-0242ac120003,4,Intervention Phase,5
c8e8554e-dee9-11ef-9325-0242ac120003,4,Intervention Phase,4
c8e8554e-dee9-11ef-9325-0242ac120003,3,Pre phase ,4
c8e8554e-dee9-11ef-9325-0242ac120003,5,Post Phase,4
c97dd0a8-dee7-11ef-9325-0242ac120003,4,Intervention Phase,3
c97dd0a8-dee7-11ef-9325-0242ac120003,5,Post Phase,4
c97dd0a8-dee7-11ef-9325-0242ac120003,3,Pre phase ,3
ca10f3fe-dd68-11ef-af32-0242ac120003,4,Intervention Phase,5
ca10f3fe-dd68-11ef-af32-0242ac120003,5,Post Phase,5
ca10f3fe-dd68-11ef-af32-0242ac120003,3,Pre phase ,5
ca3ee952-de1d-11ef-82d1-0242ac120003,4,Intervention Phase,4
ca3ee952-de1d-11ef-82d1-0242ac120003,3,Pre phase ,4
ca3ee952-de1d-11ef-82d1-0242ac120003,5,Post Phase,4
ca723602-dd52-11ef-a609-0242ac120003,3,Pre phase ,5
ca723602-dd52-11ef-a609-0242ac120003,5,Post Phase,4
ca723602-dd52-11ef-a609-0242ac120003,4,Intervention Phase,4
cb67e1ca-de28-11ef-b02c-0242ac120003,5,Post Phase,4
cb67e1ca-de28-11ef-b02c-0242ac120003,3,Pre phase ,4
cb67e1ca-de28-11ef-b02c-0242ac120003,4,Intervention Phase,4
cb8aa728-df04-11ef-af32-0242ac120003,4,Intervention Phase,5
cb8aa728-df04-11ef-af32-0242ac120003,5,Post Phase,5
cb8aa728-df04-11ef-af32-0242ac120003,3,Pre phase ,4
cc8c742e-dd4e-11ef-9101-0242ac120003,3,Pre phase ,4
cc8c742e-dd4e-11ef-9101-0242ac120003,5,Post Phase,4
cc8c742e-dd4e-11ef-9101-0242ac120003,4,Intervention Phase,5
cd05ffea-dfd5-11ef-8b3e-0242ac120003,5,Post Phase,4
cd05ffea-dfd5-11ef-8b3e-0242ac120003,3,Pre phase ,5
cd05ffea-dfd5-11ef-8b3e-0242ac120003,4,Intervention Phase,4
cd1b8bea-de3f-11ef-b02c-0242ac120003,4,Intervention Phase,3
cd1b8bea-de3f-11ef-b02c-0242ac120003,5,Post Phase,3
cd1b8bea-de3f-11ef-b02c-0242ac120003,3,Pre phase ,3
cd60d046-dee0-11ef-8bc0-0242ac120003,4,Intervention Phase,4
cd60d046-dee0-11ef-8bc0-0242ac120003,5,Post Phase,4
cd60d046-dee0-11ef-8bc0-0242ac120003,3,Pre phase ,4
cd824e2a-df07-11ef-9101-0242ac120003,4,Intervention Phase,4
cd824e2a-df07-11ef-9101-0242ac120003,5,Post Phase,4
cd824e2a-df07-11ef-9101-0242ac120003,3,Pre phase ,3
cf45130a-e542-11ef-b02c-0242ac120003,4,Intervention Phase,4
cf45130a-e542-11ef-b02c-0242ac120003,5,Post Phase,4
cf45130a-e542-11ef-b02c-0242ac120003,3,Pre phase ,4
cf45130a-e542-11ef-b02c-0242ac120003,3,Pre phase ,4
cf45130a-e542-11ef-b02c-0242ac120003,4,Intervention Phase,4
cf62df7e-dfcb-11ef-b02c-0242ac120003,3,Pre phase ,5
cf62df7e-dfcb-11ef-b02c-0242ac120003,4,Intervention Phase,5
cf62df7e-dfcb-11ef-b02c-0242ac120003,5,Post Phase,5
d0b65ccc-df10-11ef-8b3e-0242ac120003,3,Pre phase ,5
d0b65ccc-df10-11ef-8b3e-0242ac120003,4,Intervention Phase,5
d0b65ccc-df10-11ef-8b3e-0242ac120003,3,Pre phase ,5
d0b65ccc-df10-11ef-8b3e-0242ac120003,5,Post Phase,5
d17a8886-e2df-11ef-9325-0242ac120003,3,Pre phase ,3
d1ad20b4-dd73-11ef-9101-0242ac120003,5,Post Phase,4
d1ad20b4-dd73-11ef-9101-0242ac120003,3,Pre phase ,4
d1ad20b4-dd73-11ef-9101-0242ac120003,4,Intervention Phase,4
d2b4d5f0-dfa9-11ef-9101-0242ac120003,4,Intervention Phase,4
d2b4d5f0-dfa9-11ef-9101-0242ac120003,3,Pre phase ,4
d2b4d5f0-dfa9-11ef-9101-0242ac120003,5,Post Phase,5
d2c06912-dfca-11ef-9077-0242ac120003,3,Pre phase ,4
d2c06912-dfca-11ef-9077-0242ac120003,4,Intervention Phase,4
d2c06912-dfca-11ef-9077-0242ac120003,5,Post Phase,4
d2d31854-dfb2-11ef-a8d9-0242ac120003,3,Pre phase ,4
d2d31854-dfb2-11ef-a8d9-0242ac120003,5,Post Phase,4
d2d31854-dfb2-11ef-a8d9-0242ac120003,4,Intervention Phase,5
d342b32c-dfd4-11ef-9325-0242ac120003,4,Intervention Phase,4
d342b32c-dfd4-11ef-9325-0242ac120003,3,Pre phase ,4
d342b32c-dfd4-11ef-9325-0242ac120003,5,Post Phase,5
d3586a72-dfd0-11ef-af32-0242ac120003,4,Intervention Phase,4
d3586a72-dfd0-11ef-af32-0242ac120003,5,Post Phase,3
d3586a72-dfd0-11ef-af32-0242ac120003,3,Pre phase ,4
d37b4f92-de36-11ef-82d1-0242ac120003,5,Post Phase,5
d37b4f92-de36-11ef-82d1-0242ac120003,3,Pre phase ,5
d37b4f92-de36-11ef-82d1-0242ac120003,4,Intervention Phase,4
d474235a-dd6f-11ef-943e-0242ac120003,4,Intervention Phase,4
d474235a-dd6f-11ef-943e-0242ac120003,3,Pre phase ,4
d474235a-dd6f-11ef-943e-0242ac120003,5,Post Phase,4
d520f362-dd53-11ef-9101-0242ac120003,4,Intervention Phase,5
d520f362-dd53-11ef-9101-0242ac120003,3,Pre phase ,4
d520f362-dd53-11ef-9101-0242ac120003,5,Post Phase,5
d558d8e2-dee6-11ef-8bc0-0242ac120003,5,Post Phase,4
d558d8e2-dee6-11ef-8bc0-0242ac120003,4,Intervention Phase,5
d558d8e2-dee6-11ef-8bc0-0242ac120003,3,Pre phase ,5
d61f037c-de38-11ef-af32-0242ac120003,3,Pre phase ,4
d61f037c-de38-11ef-af32-0242ac120003,4,Intervention Phase,5
d61f037c-de38-11ef-af32-0242ac120003,5,Post Phase,5
d712f920-dfcb-11ef-9325-0242ac120003,3,Pre phase ,3
d712f920-dfcb-11ef-9325-0242ac120003,5,Post Phase,3
d712f920-dfcb-11ef-9325-0242ac120003,4,Intervention Phase,3
dc0d228a-dd72-11ef-a609-0242ac120003,5,Post Phase,4
dc0d228a-dd72-11ef-a609-0242ac120003,5,Post Phase,4
dc0d228a-dd72-11ef-a609-0242ac120003,4,Intervention Phase,4
dc0d228a-dd72-11ef-a609-0242ac120003,3,Pre phase ,4
dd7f0cc2-dd50-11ef-af32-0242ac120003,3,Pre phase ,4
dd7f0cc2-dd50-11ef-af32-0242ac120003,5,Post Phase,5
dd7f0cc2-dd50-11ef-af32-0242ac120003,4,Intervention Phase,4
dfe4ff70-dfae-11ef-8b3e-0242ac120003,4,Intervention Phase,5
dfe4ff70-dfae-11ef-8b3e-0242ac120003,5,Post Phase,5
dfe4ff70-dfae-11ef-8b3e-0242ac120003,3,Pre phase ,5
e0ff19b2-de24-11ef-8bc0-0242ac120003,4,Intervention Phase,4
e0ff19b2-de24-11ef-8bc0-0242ac120003,3,Pre phase ,3
e0ff19b2-de24-11ef-8bc0-0242ac120003,5,Post Phase,3
e175b744-dfbd-11ef-b02c-0242ac120003,5,Post Phase,4
e175b744-dfbd-11ef-b02c-0242ac120003,4,Intervention Phase,4
e175b744-dfbd-11ef-b02c-0242ac120003,3,Pre phase ,4
e2926b4e-df05-11ef-aae8-0242ac120003,4,Intervention Phase,5
e2926b4e-df05-11ef-aae8-0242ac120003,3,Pre phase ,4
e2926b4e-df05-11ef-aae8-0242ac120003,5,Post Phase,5
e29e4ca6-dd85-11ef-8bc0-0242ac120003,4,Intervention Phase,4
e29e4ca6-dd85-11ef-8bc0-0242ac120003,5,Post Phase,4
e29e4ca6-dd85-11ef-8bc0-0242ac120003,3,Pre phase ,5
e2ba8b96-de39-11ef-8bc0-0242ac120003,5,Post Phase,3
e2ba8b96-de39-11ef-8bc0-0242ac120003,3,Pre phase ,3
e2ba8b96-de39-11ef-8bc0-0242ac120003,4,Intervention Phase,4
